game_name,YOR,operability_status,DEVELOPER,PUBLISHER,GENDER,NO_OF_SKINTONES,GAME_LINK,period
Bring It On,2005,operable,G-Game,Yahoo! Korea,F,1,https://ooooooooo.ooo/static/?e0f637b9-e5bd-41b6-a61d-309633a932d4,pre-2011
Alice in Wonderland,2007,operable,,DressUpWho,F,1,https://ooooooooo.ooo/static/?2bb5ed50-cf95-4081-8134-55bf7d697601,pre-2011
Anime Character Maker 2,2009,operable,Xdanond,Kongregate,M/F,11,https://ooooooooo.ooo/static/?dba0d4ce-0747-8515-442e-97025e222493,pre-2011
Beautiful Alice,2008,operable,AllForGirls,Kongregate,F,1,https://ooooooooo.ooo/static/?c65c45ab-7375-42d1-8b59-52d45c2d0c4f,pre-2011
Beach Doll Dress Up,2006,operable,www.roiworld.com,www.roiworld.com,F,1,https://ooooooooo.ooo/static/?92db83d9-1dce-490d-b137-875762791aec,pre-2011
DKNY Spring 2008 2,2008,operable,Glorious Games Group AB,,F,1,http://cdn.stardoll.com/flash/loader.swf?real_brand=true&celeb_base=http://cdn.stardoll.com/celeb/&doll=http://cdn.stardoll.com/cms/dolls/843.swf?15112&doll_id=843&toolbarHref=http://cdn.stardoll.com/flash/toolbar.swf&toolbarxml=/en/xml/dollToolbar.php&loggedin=true,pre-2011
